	DSInum	term_freq	word
321	25	0	Korea
322	25	0	threats
323	25	0	christopher
324	25	0	steele
325	25	0	fbi
326	25	0	kremlin
327	25	0	election
328	25	0	involvement
329	25	0	mickhail
330	25	0	kulagin
331	25	0	bankruptcy
332	25	17	bill
333	25	12	Healthcare
334	25	12	reform
335	25	1	foreign
336	25	0	country
337	25	0	lawful
338	25	0	restriction
339	25	0	public
340	25	1	safety
341	25	0	travel\xca
342	25	0	United
343	25	6	States
344	25	20	American
345	25	5	Health
346	25	5	Care
347	25	5	Act
348	25	3	deductibles
349	25	2	premiums
350	25	4	repeal
351	25	0	and
352	25	0	replace
353	25	8	Ryan
354	25	1	construction
355	25	3	cost
356	25	4	Department
357	25	0	of
358	25	0	Homeland
359	25	1	Security
360	25	0	U.S
361	25	0	Mexico
362	25	1	border
363	25	1	Community
364	25	1	Small
365	25	2	Business
366	25	1	Small
367	25	2	Business
368	25	2	Confidence
369	25	1	Affordable
370	25	5	Care
371	25	5	Act
372	25	2	Regulations
373	25	1	Small
374	25	2	business
375	25	1	Community
376	25	0	United
377	25	6	States
378	25	1	Economy
379	25	1	Small
380	25	2	business
381	25	2	confidence
382	25	14	tax
383	25	0	overhaul
384	26	4	administration
385	26	0	americanEnergy
386	26	0	bank
387	26	0	barackObama
388	26	0	border
389	26	0	bridge
390	26	0	business
391	26	4	campaign
392	26	0	climateChange
393	26	2	congress
394	26	0	conservative
395	26	0	democracy
396	26	1	democrat
397	26	0	democraticParty
398	26	0	economy
399	26	2	election
400	26	0	energy
401	26	0	environment
402	26	2	government
403	26	0	hack
404	26	0	hillaryClinton
405	26	0	houseRepublican
406	26	0	immigrant
407	26	0	immigration
408	26	0	intelligenceAgency
409	26	0	keystonePipeline
410	26	0	lawmaker
411	26	0	leader
412	26	0	legislation
413	26	4	media
414	26	0	mexico
415	26	0	money
416	26	3	moscow
417	26	0	obamacare
418	26	0	party
419	26	3	power
420	26	0	presidency
421	26	7	president
422	26	0	presidentElect
423	26	0	regulation
424	26	0	republican
425	26	0	republicanLawmakers
426	26	0	republicanLeaders
427	26	0	restriction
428	26	15	russia
429	26	8	russian
430	26	0	sanction
431	26	0	secretary
432	26	0	taxBreak
433	26	0	terrorist
434	26	0	transitionStaff
435	26	0	transPacificPartnership
436	26	0	tweet
437	26	2	twitter
438	26	0	vladimirPutin
439	26	1	vote
440	26	5	voter
441	26	0	wall
442	26	0	war
443	26	2	washington
444	26	0	whiteHouse
445	26	0	hiring
446	26	0	freeze
447	26	1	job
448	26	2	order
449	26	0	uncertainty
450	26	2	work
451	26	0	Freedom
452	26	0	Caucus
453	26	0	Gerrymander
454	26	4	House
455	26	0	of
456	26	0	Reresentatives
457	26	0	jobs
458	26	0	executive
459	26	2	order
460	26	0	Internet
461	26	1	Service
462	26	0	Provider
463	26	0	Internet
464	26	0	User
465	26	0	Sensitive
466	26	3	Information
467	26	0	Internet
468	26	0	History
469	26	0	Federal
470	26	1	Communications
471	26	0	Commission
472	26	0	FCC
473	26	0	rules
474	26	0	Advertiser
475	26	0	Health
476	26	3	Information
477	26	0	Advocates
478	26	0	Virtual
479	26	1	Private
480	26	0	Network
481	26	0	Consumer
482	26	0	Permission
483	26	0	coal
484	26	0	miners
485	26	0	environmental
486	26	0	regulation
487	26	0	certain
488	26	0	Middle-Eastern
489	26	0	countries
490	26	0	emergency
491	26	1	stay
492	26	0	our
493	26	0	country
494	26	0	refugees
495	26	0	Travel
496	26	0	ban
497	26	0	Japan
498	26	0	Navarro
499	26	0	trade
500	26	0	deficit
501	26	0	trading
502	26	0	partners
503	26	0	Military
504	26	0	action
505	26	0	Missile
506	26	0	North
507	26	0	Korea
508	26	0	nuclear
509	26	0	testing
510	26	0	Rex
511	26	0	Tillerson
512	26	0	South
513	26	0	Korea
514	26	0	threats
515	26	1	christopher
516	26	11	steele
517	26	17	fbi
518	26	2	kremlin
519	26	2	election
520	26	2	involvement
521	26	0	mickhail
522	26	2	kulagin
523	26	0	bankruptcy
524	26	0	bill
525	26	0	Healthcare
526	26	0	reform
527	26	3	foreign
528	26	0	country
529	26	0	lawful
530	26	0	restriction
531	26	0	public
532	26	0	safety
533	26	0	travel\xca
534	26	0	United
535	26	0	States
536	26	2	American
537	26	0	Health
538	26	0	Care
539	26	0	Act
540	26	0	deductibles
541	26	0	premiums
542	26	0	repeal
543	26	0	and
544	26	0	replace
545	26	0	Ryan
546	26	0	construction
547	26	0	cost
548	26	1	Department
549	26	0	of
550	26	0	Homeland
551	26	0	Security
552	26	0	U.S
553	26	0	Mexico
554	26	0	border
555	26	3	Community
556	26	0	Small
557	26	0	Business
558	26	0	Small
559	26	0	Business
560	26	0	Confidence
561	26	0	Affordable
562	26	0	Care
563	26	0	Act
564	26	0	Regulations
565	26	0	Small
566	26	0	business
567	26	3	Community
568	26	0	United
569	26	0	States
570	26	0	Economy
571	26	0	Small
572	26	0	business
573	26	0	confidence
574	26	0	tax
575	26	0	overhaul
576	27	0	administration
577	27	0	americanEnergy
578	27	0	bank
579	27	0	barackObama
580	27	0	border
581	27	0	bridge
582	27	0	business
583	27	0	campaign
584	27	0	climateChange
585	27	0	congress
586	27	0	conservative
587	27	0	democracy
588	27	0	democrat
589	27	0	democraticParty
590	27	0	economy
591	27	0	election
592	27	0	energy
593	27	0	environment
594	27	0	government
595	27	0	hack
596	27	0	hillaryClinton
597	27	0	houseRepublican
598	27	0	immigrant
599	27	0	immigration
600	27	0	intelligenceAgency
601	27	0	keystonePipeline
602	27	0	lawmaker
603	27	0	leader
604	27	0	legislation
605	27	0	media
606	27	0	mexico
607	27	0	money
608	27	0	moscow
609	27	0	obamacare
610	27	0	party
611	27	0	power
612	27	0	presidency
613	27	5	president
614	27	0	presidentElect
615	27	0	regulation
616	27	0	republican
617	27	0	republicanLawmakers
618	27	0	republicanLeaders
619	27	0	restriction
620	27	0	russia
621	27	0	russian
622	27	0	sanction
623	27	18	secretary
624	27	0	taxBreak
625	27	0	terrorist
626	27	0	transitionStaff
627	27	0	transPacificPartnership
628	27	0	tweet
629	27	0	twitter
630	27	0	vladimirPutin
631	27	0	vote
632	27	0	voter
633	27	0	wall
634	27	0	war
635	27	0	washington
636	27	0	whiteHouse
637	27	0	hiring
638	27	0	freeze
639	27	0	job
640	27	9	order
641	27	0	uncertainty
642	27	0	work
643	27	0	Freedom
644	27	0	Caucus
645	27	0	Gerrymander
646	27	0	House
647	27	0	of
648	27	0	Reresentatives
649	27	0	jobs
650	27	0	executive
651	27	9	order
652	27	0	Internet
653	27	0	Service
654	27	0	Provider
655	27	0	Internet
656	27	0	User
657	27	0	Sensitive
658	27	4	Information
659	27	0	Internet
660	27	0	History
661	27	0	Federal
662	27	0	Communications
663	27	0	Commission
664	27	0	FCC
665	27	0	rules
666	27	0	Advertiser
667	27	0	Health
668	27	4	Information
669	27	0	Advocates
670	27	0	Virtual
671	27	0	Private
672	27	0	Network
673	27	0	Consumer
674	27	0	Permission
675	27	0	coal
676	27	0	miners
677	27	0	environmental
678	27	0	regulation
679	27	1	certain
680	27	0	Middle-Eastern
681	27	8	countries
682	27	0	emergency
683	27	0	stay
684	27	0	our
685	27	6	country
686	27	0	refugees
687	27	0	Travel
688	27	0	ban
689	27	0	Japan
690	27	0	Navarro
691	27	0	trade
692	27	0	deficit
693	27	0	trading
694	27	0	partners
695	27	0	Military
696	27	0	action
697	27	0	Missile
698	27	0	North
699	27	0	Korea
700	27	0	nuclear
701	27	0	testing
702	27	0	Rex
703	27	0	Tillerson
704	27	0	South
705	27	0	Korea
706	27	0	threats
707	27	0	christopher
708	27	0	steele
709	27	0	fbi
710	27	0	kremlin
711	27	0	election
712	27	0	involvement
713	27	0	mickhail
714	27	0	kulagin
715	27	0	bankruptcy
716	27	0	bill
717	27	0	Healthcare
718	27	0	reform
719	27	5	foreign
720	27	6	country
721	27	1	lawful
722	27	0	restriction
723	27	1	public
724	27	1	safety
725	27	0	travel\xca
726	27	0	United
727	27	3	States
728	27	0	American
729	27	0	Health
730	27	0	Care
731	27	0	Act
732	27	0	deductibles
733	27	0	premiums
734	27	0	repeal
735	27	0	and
736	27	0	replace
737	27	0	Ryan
738	27	0	construction
739	27	0	cost
740	27	0	Department
741	27	0	of
742	27	10	Homeland
743	27	13	Security
744	27	0	U.S
745	27	0	Mexico
746	27	0	border
747	27	0	Community
748	27	0	Small
749	27	0	Business
750	27	0	Small
751	27	0	Business
752	27	0	Confidence
753	27	0	Affordable
754	27	0	Care
755	27	0	Act
756	27	0	Regulations
757	27	0	Small
758	27	0	business
759	27	0	Community
760	27	0	United
761	27	3	States
762	27	0	Economy
763	27	0	Small
764	27	0	business
765	27	0	confidence
766	27	0	tax
767	27	0	overhaul
768	28	2	administration
769	28	0	americanEnergy
770	28	0	bank
771	28	0	barackObama
772	28	0	border
773	28	0	bridge
774	28	0	business
775	28	1	campaign
776	28	0	climateChange
777	28	0	congress
778	28	0	conservative
779	28	0	democracy
780	28	0	democrat
781	28	0	democraticParty
782	28	0	economy
783	28	0	election
784	28	6	energy
785	28	0	environment
786	28	1	government
787	28	0	hack
788	28	0	hillaryClinton
789	28	0	houseRepublican
790	28	0	immigrant
791	28	0	immigration
792	28	0	intelligenceAgency
793	28	0	keystonePipeline
794	28	0	lawmaker
795	28	0	leader
796	28	0	legislation
797	28	0	media
798	28	0	mexico
799	28	0	money
800	28	0	moscow
801	28	0	obamacare
802	28	0	party
803	28	6	power
804	28	0	presidency
805	28	3	president
806	28	0	presidentElect
807	28	2	regulation
808	28	0	republican
809	28	0	republicanLawmakers
810	28	0	republicanLeaders
811	28	0	restriction
812	28	0	russia
813	28	0	russian
814	28	0	sanction
815	28	1	secretary
816	28	0	taxBreak
817	28	0	terrorist
818	28	0	transitionStaff
819	28	0	transPacificPartnership
820	28	0	tweet
821	28	0	twitter
822	28	0	vladimirPutin
823	28	0	vote
824	28	0	voter
825	28	0	wall
826	28	0	war
827	28	0	washington
828	28	0	whiteHouse
829	28	0	hiring
830	28	0	freeze
831	28	0	job
832	28	8	order
833	28	0	uncertainty
834	28	0	work
835	28	0	Freedom
836	28	0	Caucus
837	28	0	Gerrymander
838	28	0	House
839	28	0	of
840	28	0	Reresentatives
841	28	4	jobs
842	28	3	executive
843	28	8	order
844	28	0	Internet
845	28	0	Service
846	28	0	Provider
847	28	0	Internet
848	28	0	User
849	28	0	Sensitive
850	28	0	Information
851	28	0	Internet
852	28	0	History
853	28	1	Federal
854	28	0	Communications
855	28	0	Commission
856	28	0	FCC
857	28	1	rules
858	28	0	Advertiser
859	28	1	Health
860	28	0	Information
861	28	0	Advocates
862	28	0	Virtual
863	28	0	Private
864	28	0	Network
865	28	0	Consumer
866	28	0	Permission
867	28	3	coal
868	28	2	miners
869	28	5	environmental
870	28	2	regulation
871	28	0	certain
872	28	0	Middle-Eastern
873	28	1	countries
874	28	0	emergency
875	28	0	stay
876	28	0	our
877	28	0	country
878	28	0	refugees
879	28	0	Travel
880	28	1	ban
881	28	0	Japan
882	28	0	Navarro
883	28	0	trade
884	28	0	deficit
885	28	0	trading
886	28	0	partners
887	28	0	Military
888	28	0	action
889	28	0	Missile
890	28	0	North
891	28	0	Korea
892	28	0	nuclear
893	28	0	testing
894	28	0	Rex
895	28	0	Tillerson
896	28	0	South
897	28	0	Korea
898	28	0	threats
899	28	0	christopher
900	28	0	steele
901	28	0	fbi
902	28	0	kremlin
903	28	0	election
904	28	0	involvement
905	28	0	mickhail
906	28	0	kulagin
907	28	0	bankruptcy
908	28	0	bill
909	28	0	Healthcare
910	28	0	reform
911	28	0	foreign
912	28	0	country
913	28	0	lawful
914	28	0	restriction
915	28	0	public
916	28	1	safety
917	28	0	travel\xca
918	28	0	United
919	28	0	States
920	28	2	American
921	28	1	Health
922	28	0	Care
923	28	0	Act
924	28	0	deductibles
925	28	0	premiums
