	EC	DSI1	DSI2	DSI3	DSI4	DSI5	DSI6	DSI7	DSI8	DSI9	DSI10	DSI11	DSI12	DSI13	DSI14	DSI15	DSI16	DSI17	DSI18	DSI19	DSI20	DSI21	DSI22	DSI23	DSI24	DSI25	DSI26	DSI27	DSI28	DSI29	DSI30	DSI31	DSI32	DSI33	DSI34	DSI35	DSI36	DSI37	DSI38	DSI39	DSI40
95	regulation	3	0	2	1	1	0	5	4	8	0	1	0	0	3	0	0	4	0	7	4	2	1	0	11	3	0	0	5	0	0	0	5	1	0	0	0	2	3	0	1
96	repealAndReplace	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	republican	0	1	0	2	1	0	1	3	1	2	0	4	1	0	4	1	1	7	1	0	1	8	0	0	8	0	0	1	0	1	0	0	0	0	12	0	0	0	10	3
98	republicanLawmakers	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	republicanLeaders	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
100	restriction	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
101	russia	0	4	0	0	0	0	0	0	0	0	5	0	15	0	0	0	0	0	0	0	0	15	2	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	russian	0	1	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	0	0	0	0	6	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	sanction	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
104	secretary	0	0	2	0	1	1	0	1	1	0	0	0	1	3	0	2	0	1	0	0	1	0	0	1	5	0	18	1	1	1	1	0	0	1	0	1	0	2	0	0
105	senateRule	0	0	0	1	0	0	0	0	0	3	1	4	1	0	0	1	1	2	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	2	0	0	0	0	11	1
106	smallBusinessCommunity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
107	smallBusinessConfidence	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0
108	smallBusinessConfidenceIndex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
109	southKorea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0
110	supremeCourt	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	16	0
111	tariff	0	0	1	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
112	taxBreak	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
113	terrorist	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
114	threats	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	tradeDeficit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
116	tradingPartners	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
117	transPacificPartnership	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
118	transitionStaff	3	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	travel 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
120	tweet	0	3	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	3	0	1	0	0	3	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
