word_count	ontology	EC	Term
1	foreignConcepts	tariff	tariff
1	foreignConcepts	tariff	tariffs
2	economy	taxBreak	tax break
2	economy	taxBreak	tax overhaul
2	economy	taxBreak	tax breaks
1	nationalSecurity	terrorist	terrorists
1	foreignConcepts	tradeDeficit	trade
2	foreignConcepts	tradeDeficit	trade deficit
2	foreignAreas	tradingPartners	trading partners
3	foreignConcepts	transPacificPartnership	trans pacific partnership
1	foreignConcepts	transPacificPartnership	tpp
2	foreignConcepts	transPacificPartnership	trans-pacific partnership
3	foreignConcepts	transPacificPartnership	trans-pacific partnership negotiations
1	foreignConcepts	Travelban	travel
2	foreignAreas	Travelban	travel ban
1	media	tweet	tweet
1	media	tweet	tweeted
2	media	tweet	twitter post
1	media	twitter	twitter
2	government	unitedStates	united states
2	government	unitedStates	our country
1	government	unitedStates	america
4	government	unitedStates	make america great again
2	russia	vladimirPutin	vladimir putin
2	russia	vladimirPutin	mr putin
1	russia	vladimirPutin	putin
1	internetPrivacy	VPN	vpn
3	internetPrivacy	VPN	virtual private network
1	mexico	wall	wall
1	mexico	wall	fence
2	mexico	wall	border wall
1	mexico	wall	barrier
2	mexico	wall	great wall
1	mexico	wall	walls
1	foreignEngagements	war	war
1	foreignEngagements	war	warfare
1	govAppointedRole	washington	washington
1	govAppointedRole	washington	dc
2	govAppointedRole	whiteHouse	white house
2	govAppointedRole	whiteHouse	trump administration
1	hillaryClinton	email	email
1	hillaryClinton	email	emails
1	hillaryClinton	email	server
2	hillaryClinton	email	thumb drive
1	governmentActions	agenda	agenda
1	govElectedRole	HouseofRepresentatives	boehner
1	foreignConcepts	tradeDeficit	deficit
1	foreignConcepts	tradeDeficit	nations
1	foreignConcepts	tradeDeficit	deficits
1	foreignConcepts	tradeDeficit	bilateral
1	foreignConcepts	smallBusinessConfidence	toledo
1	business	smallBusinessConfidence	business
1	healthcare	Healthcare	care
1	foreignAreas	travelBan	robart
1	foreignAreas	travelBan	judge
1	foreignAreas	travelBan	ban
1	govAppointedRole	supremeCourt	appointee
1	media	tweet	tweets
1	foreignEngagements	nuclearTesting	nuclear
1	foreignCountry	korea	korea
