EC	EC_Strength	DSI1	DSI2	DSI3	DSI4	DSI5	DSI6	DSI7	DSI8	DSI9	DSI10	DSI11	DSI12	DSI13	DSI14	DSI15	DSI16	DSI17	DSI18	DSI19	DSI20	DSI21	DSI22	DSI23	DSI24	DSI25	DSI26	DSI27	DSI28	DSI29	DSI30	DSI31	DSI32	DSI33	DSI34	DSI35	DSI36	DSI37	DSI38	DSI39	DSI40
conservative	1	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
construction	1	0	0	1	0	0	0	0	1	3	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
cost	0.2	0	2	1	1	1	0	0	2	6	0	1	1	0	0	5	0	0	2	2	0	3	1	0	3	7	0	0	0	0	11	0	1	0	0	1	0	0	0	0	1
democracy	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
democraticParty	0.2	0	0	0	0	2	0	0	1	2	14	1	1	1	0	2	0	4	4	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	5	0	0	0	10	3
domesticSecurity	0.2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	20	0	0	0	4	0	0	3	0	0	0	0	4	0	0
economy	0.25	0	0	1	0	0	0	2	1	3	0	0	0	0	0	0	0	3	0	3	0	2	0	0	1	3	0	0	0	2	0	1	4	1	0	1	0	0	0	0	0
election	0.5	0	0	1	0	0	0	0	0	2	0	3	0	5	7	0	0	5	0	1	0	2	7	1	0	1	4	0	0	0	0	0	3	0	0	1	0	0	0	0	1
email	0.25	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	30	1	0	1	0	1	1	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0
emergencyStay	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
energy	1	0	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	14	8	11	0	0	10	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
entryIntoUS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
environment	0.5	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	7	3	0	0	0	7	1	0	0	5	0	2	0	1	1	0	0	0	0	0	0	0
environmentalRegulation	0.5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
