	EC	DSI1	DSI2	DSI3	DSI4	DSI5	DSI6	DSI7	DSI8	DSI9	DSI10	DSI11	DSI12	DSI13	DSI14	DSI15	DSI16	DSI17	DSI18	DSI19	DSI20	DSI21	DSI22	DSI23	DSI24	DSI25	DSI26	DSI27	DSI28	DSI29	DSI30	DSI31	DSI32	DSI33	DSI34	DSI35	DSI36	DSI37	DSI38	DSI39	DSI40
80	leader	0	1	0	1	0	0	0	0	0	1	0	2	0	3	1	0	2	2	0	0	3	2	0	0	3	0	0	0	0	1	0	1	0	1	2	0	0	1	3	0
81	legislation	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
82	markFields	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	media	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	mexico	0	0	1	0	0	0	11	5	0	0	0	0	0	1	4	0	5	5	1	0	0	0	0	0	0	0	0	0	0	6	1	0	2	0	0	0	1	0	0	0
85	mikhailKulagin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	militaryAction	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	4	0	0
87	missile	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
88	money	0	0	4	0	7	3	0	0	11	0	0	4	0	1	8	0	1	4	0	0	0	0	0	0	1	0	0	0	0	4	0	1	1	0	0	0	0	1	0	3
89	moscow	0	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	northKorea	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
91	northKorea/southKorea	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	30	0	0
92	nuclearTesting	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
93	parisAccord	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
94	party	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	4	0	0	0	1	1	0	0	2	0	0	0	3	0	0	0	1	0	4	0	0	2	0	1
95	president	14	14	1	16	12	26	13	14	8	17	18	12	31	83	10	1	36	9	26	17	18	27	24	17	80	35	5	11	6	13	2	9	9	15	5	4	11	4	3	25
96	presidentElect	2	1	0	0	2	3	4	1	0	2	2	0	5	15	1	0	6	1	0	2	0	4	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	protectionism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
98	publicSafety	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0
99	reform	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
100	refugees	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
101	regulation	3	0	2	1	1	1	5	5	8	0	1	0	0	4	0	0	4	0	7	8	2	1	0	12	3	0	0	7	6	0	0	6	1	0	0	0	2	3	4	1
102	repealAndReplace	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	republican	0	1	0	8	1	0	1	3	1	2	0	10	1	0	4	1	5	9	1	0	1	8	0	0	8	0	0	1	0	1	0	0	2	0	18	0	0	0	10	3
104	republicanLawmakers	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	republicanLeaders	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
106	restriction	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
107	russia	0	4	0	0	0	0	0	0	0	0	5	0	15	0	0	0	0	0	0	0	0	15	2	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	russian	0	1	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	0	0	0	0	6	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	sanction	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
110	secretary	0	0	2	0	1	1	0	1	1	0	0	0	1	3	0	2	0	1	0	0	1	0	0	1	5	0	18	1	1	1	1	0	0	1	0	1	0	2	0	0
111	senateRule	0	0	0	1	0	0	0	0	0	3	1	4	1	0	0	1	1	2	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	2	0	0	0	0	11	1
112	smallBusinessCommunity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
113	smallBusinessConfidence	0	0	0	4	0	2	3	2	2	0	0	0	3	16	0	2	0	0	6	0	1	0	2	0	14	0	0	0	0	0	4	23	0	0	1	0	0	0	0	6
114	smallBusinessConfidenceIndex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
115	southKorea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
116	supremeCourt	1	0	3	0	0	0	0	0	0	38	0	0	0	3	0	4	0	1	0	3	1	0	0	0	5	3	3	1	0	1	0	0	0	10	0	0	0	0	34	0
117	tariff	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
118	taxBreak	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
119	terrorist	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
120	threats	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	tradeDeficit	1	0	1	2	1	0	6	5	0	0	0	0	0	0	2	0	2	0	0	0	3	0	0	0	0	0	0	1	0	0	47	1	2	0	0	0	15	0	0	2
122	tradingPartners	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
123	transPacificPartnership	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
124	transitionStaff	3	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	travelBan	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	21	0	0	0	0	3	0
126	tweet	0	3	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	3	0	1	0	0	3	0	2	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0
